,uniprot1,uniprot2,symbol1,symbol2,methods,pids,ndb,dbs,exp,go1,go2
199,Q8WWY8,Q9NZ71,LIPH,RTEL1,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0006654, GO:0005615, GO:0052689, GO:0016042, GO:0005886, GO:0004620, GO:0008201","GO:1902990, GO:1904506, GO:0000781, GO:0003677, GO:0043247, GO:0000723, GO:0010569, GO:0070182, GO:0005634, GO:0005654, GO:0004003, GO:1904535, GO:0045910, GO:0031297, GO:0005524, GO:1904358, GO:0006281, GO:1904355, GO:0032508, GO:0006974, GO:0090657, GO:0046872, GO:0051539, GO:0032206, GO:0000732, GO:0005515, GO:1904430"
200,P22694,Q96SD1,PRKACB,DCLRE1C,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0007596, GO:0007165, GO:0034199, GO:0004691, GO:0045171, GO:0070062, GO:0071377, GO:0003091, GO:0000287, GO:1901621, GO:0005654, GO:0004674, GO:0007188, GO:0097338, GO:0001843, GO:0031625, GO:0005524, GO:0002223, GO:0006468, GO:0016301, GO:0051447, GO:0005886, GO:0005952, GO:0048471, GO:0070613, GO:0005829, GO:0097546, GO:0005515, GO:0005813, GO:0034380","GO:0000014, GO:0031848, GO:0008409, GO:0006303, GO:0005794, GO:0004519, GO:0030183, GO:0036297, GO:0006974, GO:0090305, GO:0033151, GO:0000784, GO:0005515, GO:0035312, GO:0010212, GO:0006281, GO:0070419, GO:0005654, GO:0003684, GO:0002250"
201,P00533,P27695,EGFR,APEX1,"affinity chromatography technology, anti bait coimmunoprecipitation","24780295, 28065597",2,"biogrid, iid-pred, intact","exp, pred","GO:0045907, GO:0005789, GO:0061024, GO:0001503, GO:0007165, GO:0007166, GO:0010960, GO:0045780, GO:0051205, GO:0009968, GO:0016021, GO:0016020, GO:0000165, GO:0070435, GO:0004714, GO:0043066, GO:0004713, GO:0030307, GO:0016101, GO:0031901, GO:0032930, GO:1905208, GO:0031965, GO:0019901, GO:0019903, GO:0031625, GO:0007173, GO:0097489, GO:0007611, GO:0043235, GO:0042327, GO:0050730, GO:0007202, GO:0001618, GO:0042698, GO:0005524, GO:0004709, GO:0046718, GO:0005088, GO:0060571, GO:0033674, GO:0090263, GO:0071260, GO:0042743, GO:0005178, GO:0046328, GO:0005925, GO:1903800, GO:0007435, GO:0051897, GO:0046854, GO:0048471, GO:0061029, GO:0005737, GO:0007623, GO:0098609, GO:0042060, GO:0071276, GO:0043410, GO:0050729, GO:0048546, GO:0003682, GO:0097421, GO:0000139, GO:0006357, GO:2000145, GO:0048408, GO:0005006, GO:0045739, GO:0046982, GO:0031659, GO:0033594, GO:0007494, GO:0033590, GO:0048146, GO:0030154, GO:0048143, GO:0019899, GO:0043406, GO:0042177, GO:0030324, GO:0038128, GO:0046777, GO:0010008, GO:0030665, GO:0038083, GO:0005634, GO:1900020, GO:0045746, GO:0043006, GO:0045740, GO:0009925, GO:0003690, GO:0021795, GO:0046934, GO:0008284, GO:0008283, GO:0016324, GO:0009986, GO:0001942, GO:0070141, GO:0051015, GO:0016323, GO:0006970, GO:0018108, GO:0030122, GO:0014066, GO:0001892, GO:0071364, GO:0050679, GO:0045296, GO:0045944, GO:0005516, GO:0005515, GO:1902722, GO:0070374, GO:0070372, GO:0000186, GO:0045121, GO:0033138, GO:0048812, GO:0042059, GO:1901224, GO:0045202, GO:0004871, GO:0007275, GO:1901185, GO:0005615, GO:0031434, GO:0043586, GO:0071392, GO:0042802, GO:0045930, GO:0030335, GO:1903078, GO:0071230, GO:0048661, GO:0030235, GO:0034614, GO:0005887, GO:0005886, GO:0050999, GO:0051592, GO:0071549, GO:0051968, GO:0032991, GO:0097755, GO:0001934, GO:0004888, GO:0010750, GO:0005768, GO:0006412, GO:0045893","GO:0006286, GO:0005783, GO:0014912, GO:0031490, GO:0044877, GO:0004523, GO:0008311, GO:0042981, GO:0004844, GO:0016491, GO:0016607, GO:0008408, GO:0004528, GO:0005730, GO:0140078, GO:0005813, GO:0005634, GO:0003714, GO:0003713, GO:0004520, GO:0005739, GO:0005654, GO:0008309, GO:0006310, GO:0080111, GO:0048471, GO:0003691, GO:0003723, GO:1903508, GO:0000723, GO:0006284, GO:0005667, GO:0006281, GO:0070301, GO:0051059, GO:1903507, GO:0003906, GO:0016890, GO:0045454, GO:0003677, GO:0055114, GO:0071375, GO:0090502, GO:0043488, GO:0097698, GO:0007568, GO:0005840, GO:0046872, GO:0004519, GO:0071320, GO:0008081, GO:0005737, GO:0006974, GO:0006355, GO:0006351, GO:0005515, GO:1900087, GO:0003684, GO:0000784"
202,Q15645,Q8TBB1,TRIP13,LNX1,"two hybrid, two hybrid array, two hybrid pooling approach, two hybrid prey pooling approach, validated two hybrid, yeast 2-hybrid","16189514, 25416956",2,"biogrid, hprd, intact",exp,"GO:0007144, GO:0007131, GO:0007141, GO:0006302, GO:0005634, GO:0003712, GO:0001556, GO:0006366, GO:0048477, GO:0005524, GO:0006281, GO:1903506, GO:0006974, GO:0007283, GO:0007286, GO:0051598, GO:0007130, GO:0001673, GO:0005694, GO:0042802, GO:0005515, GO:0007094","GO:0005737, GO:0051260, GO:0016567, GO:0030165, GO:0005515, GO:0006511, GO:0046872, GO:0004842"
203,O14746,Q99828,TERT,CIB1,"affinity chromatography technology, pull down, two hybrid","15190070, 20959453",2,"bci, biogrid, i2d, innatedb",exp,"GO:0042635, GO:0008022, GO:2000773, GO:0032774, GO:0030422, GO:0046326, GO:1990572, GO:0001172, GO:0000781, GO:0030177, GO:0000333, GO:0043524, GO:0000784, GO:0003677, GO:1902895, GO:0042645, GO:0007005, GO:0007004, GO:0000723, GO:0032092, GO:0000049, GO:0005730, GO:0005634, GO:0051087, GO:0045766, GO:0005654, GO:0090399, GO:1904837, GO:2000648, GO:0071456, GO:0046686, GO:0046872, GO:1904707, GO:2001240, GO:0042802, GO:0005697, GO:0016607, GO:0070200, GO:0005515, GO:0042162, GO:0016605, GO:2000352, GO:0010629, GO:0003968, GO:0060253, GO:0005886, GO:0003964, GO:1903620, GO:1903704, GO:0016779, GO:0006278, GO:0001223, GO:0047485, GO:0098680, GO:0031647, GO:0000783, GO:0022616, GO:0070034, GO:1904751, GO:1904754, GO:0003723, GO:0003720, GO:0003721, GO:0051000, GO:0042803, GO:1900087, GO:0005829, GO:0071897, GO:0031379","GO:0032433, GO:0008022, GO:0008427, GO:0005783, GO:0005794, GO:0019901, GO:0030307, GO:0007286, GO:0030220, GO:0030425, GO:0008284, GO:0051898, GO:0070886, GO:0071902, GO:0044325, GO:0001525, GO:0051302, GO:0043085, GO:0005737, GO:0006302, GO:0031122, GO:0007026, GO:1900026, GO:0005813, GO:0005634, GO:0016020, GO:0002931, GO:0005654, GO:0016324, GO:0043066, GO:0051301, GO:0043005, GO:0048471, GO:0043025, GO:0005509, GO:0042127, GO:0008285, GO:0030335, GO:0042383, GO:0006281, GO:0030027, GO:0006915, GO:1903078, GO:0038163, GO:0006974, GO:0010977, GO:0071901, GO:0005886, GO:0007155, GO:0030291, GO:0090314, GO:0032587, GO:0017016, GO:0031982, GO:0051092, GO:0007113, GO:0070374, GO:0071363, GO:0070062, GO:2000256, GO:0045653, GO:0090050, GO:0043495, GO:0097191, GO:0071356, GO:0071944, GO:0005515, GO:0001933, GO:0001954, GO:0030426, GO:0001934, GO:1990090, GO:0033630"
205,Q13156,Q96FZ2,RPA4,HMCES,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0006310, GO:0043565, GO:0000077, GO:0006281, GO:0005634, GO:0006270, GO:0000082, GO:0006289, GO:0033260, GO:0006974, GO:0005662, GO:0003697, GO:0005515, GO:0003690, GO:0005654, GO:0003684, GO:0098505","GO:0006508, GO:0008233, GO:0008150, GO:0003674, GO:0003677"
207,P50542,Q13315,PEX5,ATM,"affinity chromatography technology, anti bait coimmunoprecipitation, anti tag coimmunoprecipitation, two hybrid, yeast 2-hybrid","10567403, 26344566",2,"bci, biogrid, dip, hprd, intact",exp,"GO:0005737, GO:0005794, GO:0005778, GO:0032991, GO:0047485, GO:0000268, GO:0016558, GO:0005777, GO:0005829, GO:0016020, GO:0005052, GO:0019899, GO:0045046, GO:0016567, GO:0031267, GO:0005515, GO:0016560, GO:0006625, GO:1901094","GO:0071044, GO:0018105, GO:0071480, GO:0033151, GO:0043525, GO:0030889, GO:1904262, GO:0005515, GO:0009791, GO:0000724, GO:0008340, GO:0044877, GO:0007165, GO:0035264, GO:0003677, GO:0001666, GO:0042981, GO:0007143, GO:0007140, GO:0000723, GO:0005654, GO:0005819, GO:0006303, GO:0001541, GO:0005730, GO:0031410, GO:0000729, GO:0071481, GO:0032212, GO:0032210, GO:0046777, GO:0043065, GO:0004674, GO:0004677, GO:0006260, GO:0048538, GO:0016572, GO:1901796, GO:0010506, GO:0005524, GO:1904884, GO:0036289, GO:0006468, GO:0007420, GO:1904358, GO:0097695, GO:0006281, GO:1904354, GO:0016303, GO:0033129, GO:0097694, GO:0006974, GO:0006975, GO:0051402, GO:0006977, GO:0042159, GO:1903978, GO:0036092, GO:0010212, GO:0007507, GO:0045141, GO:0043517, GO:0001756, GO:1903626, GO:0000781, GO:0072434, GO:1905843, GO:0008630, GO:0047485, GO:0071500, GO:1990391, GO:1900034, GO:0090399, GO:0007050, GO:0007131, GO:0002377, GO:0048599, GO:0051972, GO:0016301, GO:0007094, GO:0046983, GO:0002331, GO:0005634, GO:0000784"
208,P30039,Q15645,PBLD,TRIP13,"two hybrid, two hybrid array, two hybrid pooling approach, two hybrid prey pooling approach, validated two hybrid, yeast 2-hybrid","16189514, 25416956",2,"biogrid, hprd, intact",exp,"GO:0005737, GO:0016853, GO:0010719, GO:0010633, GO:0060394, GO:0050680, GO:0060392, GO:0009058, GO:0003674, GO:0030277, GO:0005515, GO:0030512, GO:0042802, GO:0070062","GO:0007144, GO:0007131, GO:0007141, GO:0006302, GO:0005634, GO:0003712, GO:0001556, GO:0006366, GO:0048477, GO:0005524, GO:0006281, GO:1903506, GO:0006974, GO:0007283, GO:0007286, GO:0051598, GO:0007130, GO:0001673, GO:0005694, GO:0042802, GO:0005515, GO:0007094"
209,P09874,P26358,PARP1,DNMT1,"affinity chromatography technology, anti bait coimmunoprecipitation, confocal microscopy","23708667, 27728808",2,"biogrid, iid-ortho, intact","exp, ortho","GO:0044030, GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:2001170, GO:1903827, GO:0000724, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0000715, GO:0007005, GO:0000723, GO:0016020, GO:0071294, GO:0006302, GO:0000122, GO:0030331, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0045944, GO:0070412, GO:0006366, GO:1904646, GO:1990404, GO:0042826, GO:0010332, GO:0042802, GO:0000977, GO:0006915, GO:0005667, GO:1903518, GO:0006281, GO:0008134, GO:0050790, GO:0033148, GO:0006974, GO:1904357, GO:0036211, GO:0070212, GO:1901216, GO:0032991, GO:0034599, GO:0007179, GO:0010613, GO:1900182, GO:1904044, GO:0032993, GO:0047485, GO:0016540, GO:0005730, GO:0060391, GO:0010990, GO:0019901, GO:0051901, GO:0003723, GO:0005515, GO:0001228, GO:1904762, GO:1990966, GO:1903376, GO:2000679, GO:0008270","GO:0010629, GO:0010628, GO:0008270, GO:0003677, GO:0005634, GO:0090309, GO:0010216, GO:0006306, GO:0000122, GO:0006325, GO:0043045, GO:0009008, GO:0005654, GO:0003886, GO:0016458, GO:0005657, GO:0045814, GO:1904707, GO:0010424, GO:0000981, GO:0003723, GO:1905460, GO:0071230, GO:0008327, GO:0051571, GO:0007265, GO:0051573, GO:1990841, GO:0005721, GO:0090116, GO:0006351, GO:0005515, GO:1905931"
210,O76071,P18074,CIAO1,ERCC2,"affinity chromatography technology, anti tag coimmunoprecipitation","23891004, 28178521",2,"biogrid, intact",exp,"GO:0008284, GO:0071817, GO:0097361, GO:0016226, GO:0006357, GO:0005515, GO:0007059","GO:0006294, GO:0008022, GO:0006296, GO:0070911, GO:0006293, GO:0048568, GO:0047485, GO:0032289, GO:0021510, GO:0009791, GO:0043388, GO:0000439, GO:0009411, GO:0043249, GO:1901990, GO:0035264, GO:0003677, GO:0009650, GO:0008353, GO:0001666, GO:0030282, GO:0006283, GO:0035315, GO:0005737, GO:0006361, GO:0001701, GO:0005634, GO:0008283, GO:0033683, GO:0005654, GO:0006363, GO:0048820, GO:0045951, GO:0006366, GO:0006368, GO:0007059, GO:0046872, GO:0005524, GO:0005675, GO:0006468, GO:0006915, GO:0006367, GO:0006281, GO:0004003, GO:0032508, GO:0004672, GO:0006289, GO:0006974, GO:0005819, GO:0045893, GO:0019907, GO:0060218, GO:0006979, GO:0008094, GO:0007568, GO:0051539, GO:0071817, GO:0040016, GO:0005829, GO:0000019, GO:0000717, GO:0006370, GO:0030198, GO:0045944, GO:0005515, GO:0016032, GO:0005669, GO:0043141, GO:0043139, GO:0003684"
212,P15927,P40763,RPA2,STAT3,"affinity chromatography technology, mammalian protein protein interaction trap, pull down, two hybrid, yeast 2-hybrid","10875894, 25416956",2,"bci, biogrid, hprd, iid-pred, intact","exp, pred","GO:0006294, GO:0006297, GO:0006296, GO:0042276, GO:0034502, GO:0019985, GO:0000082, GO:0006298, GO:0019899, GO:0000781, GO:0000785, GO:0000784, GO:0043565, GO:0000723, GO:0010569, GO:0016605, GO:0016604, GO:0006293, GO:0000724, GO:0005634, GO:0033683, GO:0005654, GO:0006260, GO:0003690, GO:0003697, GO:0006284, GO:0006283, GO:0006281, GO:0006289, GO:0006974, GO:0019903, GO:0098505, GO:0031625, GO:0047485, GO:1900034, GO:0031571, GO:0032201, GO:0036297, GO:0070987, GO:0005662, GO:2000001, GO:0005515, GO:0035861, GO:0042769, GO:0003684","GO:0019221, GO:0001077, GO:0007165, GO:0001754, GO:1902895, GO:0044321, GO:0044320, GO:0072540, GO:0042531, GO:0060259, GO:0006606, GO:0060019, GO:0019901, GO:0019903, GO:0042755, GO:0035278, GO:0044212, GO:0005829, GO:0060397, GO:0010730, GO:0045820, GO:2000637, GO:0060396, GO:0035259, GO:0010628, GO:0003677, GO:0045648, GO:0005654, GO:2001223, GO:0070102, GO:0097009, GO:0000981, GO:0038155, GO:0048708, GO:0006953, GO:0006954, GO:0035019, GO:1901215, GO:0046902, GO:0071345, GO:0006355, GO:0006357, GO:0070757, GO:0046983, GO:0070106, GO:0016310, GO:0019953, GO:2001171, GO:0031490, GO:0090575, GO:0005737, GO:0000122, GO:0005634, GO:0007259, GO:0045747, GO:2000737, GO:0042802, GO:0042803, GO:1905564, GO:0008285, GO:0008283, GO:0008134, GO:0032870, GO:0045893, GO:0001103, GO:0001659, GO:0007568, GO:0071407, GO:0001228, GO:0005743, GO:1902728, GO:0045944, GO:0005515, GO:0033210, GO:0042593, GO:0031730, GO:0004879, GO:0032355, GO:0030522, GO:0045766, GO:0043066, GO:0035723, GO:0042789, GO:0038111, GO:0038114, GO:0045471, GO:0005886, GO:0000978, GO:1904685, GO:0040014, GO:0007399, GO:0051726, GO:0003700, GO:0000790, GO:0016032"
213,O14757,Q9Y5W9,CHEK1,SNX11,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0018107, GO:2000615, GO:0071260, GO:0070317, GO:0000781, GO:0000785, GO:0035556, GO:0007049, GO:0005737, GO:0010569, GO:0005615, GO:0005813, GO:0005634, GO:0006281, GO:0005654, GO:0004674, GO:0006260, GO:0004672, GO:0045839, GO:0010767, GO:0005524, GO:0072425, GO:0006468, GO:0016301, GO:0048096, GO:0006915, GO:0006974, GO:0006975, GO:0035402, GO:0019904, GO:0000794, GO:1901796, GO:0000077, GO:0045787, GO:0032991, GO:0043231, GO:0035407, GO:0005829, GO:0005515, GO:0046602, GO:0090399","GO:0006886, GO:0005768, GO:0005515, GO:0016050, GO:1901981"
214,P38398,Q9H8H0,BRCA1,NOL11,affinity chromatography technology,"25184681, 26831064",2,biogrid,exp,"GO:0006633, GO:1902042, GO:0035066, GO:0035067, GO:1990904, GO:0044030, GO:0050681, GO:0033147, GO:0019899, GO:0008274, GO:0010628, GO:0008270, GO:0045766, GO:0003677, GO:0005634, GO:0042981, GO:0044818, GO:0005737, GO:0005654, GO:0006349, GO:0070063, GO:0006302, GO:0006301, GO:0000724, GO:0071356, GO:0006978, GO:0000729, GO:0003713, GO:0000800, GO:0071158, GO:0070512, GO:0085020, GO:0006260, GO:0031398, GO:0070531, GO:0007098, GO:0043009, GO:0005694, GO:0006303, GO:0042127, GO:0072425, GO:2000378, GO:2000620, GO:0005515, GO:0006281, GO:0006357, GO:0006915, GO:0006974, GO:0045892, GO:0070317, GO:0046600, GO:0005886, GO:0043627, GO:0051571, GO:0051572, GO:0051573, GO:0051574, GO:2000617, GO:0071681, GO:0010212, GO:0044212, GO:0031625, GO:0032991, GO:0008630, GO:0009048, GO:0004842, GO:0016579, GO:0010575, GO:0030521, GO:0015631, GO:0000151, GO:0003684, GO:0016567, GO:0051865, GO:0045944, GO:0006351, GO:0007059, GO:0003723, GO:0031436, GO:0045739, GO:0006359, GO:0045717, GO:0045893","GO:0006351, GO:0005515, GO:0034455, GO:0030490, GO:0005730, GO:0005654, GO:0006364, GO:1901838, GO:0003723"
215,Q92995,Q9UQE7,USP13,SMC3,"affinity chromatography technology, anti tag coimmunoprecipitation","19615732, 26496610",2,"biogrid, intact",exp,"GO:0044389, GO:0004197, GO:0050821, GO:0008270, GO:0070628, GO:1904294, GO:0051087, GO:0004843, GO:0005654, GO:0043130, GO:0010506, GO:0070536, GO:1904378, GO:0030318, GO:0008283, GO:0006914, GO:0035523, GO:0036459, GO:0031625, GO:0044313, GO:1904288, GO:0016579, GO:0005829, GO:0006355, GO:0006511, GO:0005515, GO:1904454","GO:0048487, GO:0000785, GO:0000800, GO:0008278, GO:0051301, GO:0000278, GO:0051321, GO:0070840, GO:0005634, GO:0003682, GO:0097431, GO:0005654, GO:0016363, GO:0005694, GO:0005524, GO:0030893, GO:0006281, GO:0006974, GO:0032876, GO:0034991, GO:0051702, GO:0007062, GO:0000775, GO:0019827, GO:0005604, GO:0036033, GO:0005829, GO:1901673, GO:0006275, GO:0005622, GO:0044791, GO:0003777, GO:0005515, GO:0046982"
216,O43829,O60671,ZBTB14,RAD1,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0043565, GO:0003170, GO:0003279, GO:0005515, GO:0000122, GO:0003700, GO:0005634, GO:0005730, GO:0016235, GO:0005654, GO:0044212, GO:0045892, GO:0006351, GO:0060976, GO:0000978, GO:0046872, GO:0001078, GO:0005829, GO:0000981","GO:0030896, GO:0005654, GO:0008408, GO:0000077, GO:0043231, GO:0006281, GO:0008853, GO:0071479, GO:0003684, GO:0006974, GO:0090305, GO:0021762, GO:0005515, GO:0051598, GO:0005694, GO:0005634"
217,P54727,Q9UMX0,RAD23B,UBQLN1,biochemical,"22939629, 26344197",2,"biogrid, iid-pred","exp, pred","GO:0006294, GO:0006457, GO:0032434, GO:0048568, GO:0071942, GO:0070911, GO:0031593, GO:0070628, GO:0043161, GO:0005634, GO:0005654, GO:0016579, GO:0003697, GO:0006281, GO:0006289, GO:0006974, GO:0007283, GO:0000502, GO:0005829, GO:0000715, GO:0043130, GO:0005515, GO:0003684","GO:0005783, GO:0030433, GO:0016236, GO:0016235, GO:1901340, GO:0031593, GO:0005737, GO:0031410, GO:0005776, GO:0000045, GO:0005654, GO:0097352, GO:0035973, GO:0031398, GO:0071456, GO:0031396, GO:0048471, GO:0042802, GO:1902175, GO:1903071, GO:0019900, GO:0034140, GO:0005886, GO:0000502, GO:0032991, GO:0005829, GO:0005515, GO:0034976"
219,P09874,P10827,PARP1,THRA,affinity chromatography technology,"15808511, 17242407",2,"bci, biogrid, iid-pred","exp, pred","GO:0044030, GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:2001170, GO:1903827, GO:0000724, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0000715, GO:0007005, GO:0000723, GO:0016020, GO:0071294, GO:0006302, GO:0000122, GO:0030331, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0045944, GO:0070412, GO:0006366, GO:1904646, GO:1990404, GO:0042826, GO:0010332, GO:0042802, GO:0000977, GO:0006915, GO:0005667, GO:1903518, GO:0006281, GO:0008134, GO:0050790, GO:0033148, GO:0006974, GO:1904357, GO:0036211, GO:0070212, GO:1901216, GO:0032991, GO:0034599, GO:0007179, GO:0010613, GO:1900182, GO:1904044, GO:0032993, GO:0047485, GO:0016540, GO:0005730, GO:0060391, GO:0010990, GO:0019901, GO:0051901, GO:0003723, GO:0005515, GO:0001228, GO:1904762, GO:1990966, GO:1903376, GO:2000679, GO:0008270","GO:0001076, GO:0045925, GO:0017025, GO:0030154, GO:0007611, GO:0031490, GO:0001502, GO:0001503, GO:0044877, GO:0008270, GO:0043401, GO:0098531, GO:0050994, GO:0007275, GO:0004879, GO:0009755, GO:0030522, GO:0000122, GO:0033993, GO:0005634, GO:0001133, GO:0005654, GO:0030218, GO:0060509, GO:0006367, GO:0006366, GO:0000976, GO:0030878, GO:0000981, GO:0033032, GO:0017055, GO:0009887, GO:0070324, GO:0008134, GO:0008016, GO:0030374, GO:0008050, GO:0045892, GO:0019904, GO:0010831, GO:0009409, GO:0002154, GO:0002155, GO:0002153, GO:0044212, GO:0042994, GO:0007420, GO:0003700, GO:0005829, GO:0090575, GO:0003707, GO:2000143, GO:0006357, GO:0045944, GO:0000977, GO:0005515, GO:0004887, GO:0004872"
221,Q13535,Q6AZY7,ATR,SCARA3,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0018105, GO:0071480, GO:0034644, GO:0000784, GO:0003677, GO:0046777, GO:0016605, GO:0005634, GO:0032212, GO:0007275, GO:0005654, GO:0004674, GO:0006260, GO:0097695, GO:0097694, GO:0004672, GO:0032407, GO:0032405, GO:1904884, GO:0005794, GO:0006281, GO:0016301, GO:0006974, GO:0008156, GO:0043517, GO:0000077, GO:0005694, GO:0090399, GO:0042493, GO:0036297, GO:0070198, GO:0005524, GO:0005515, GO:1900034","GO:0034138, GO:0005044, GO:0016021, GO:0006898, GO:0030246, GO:0005789, GO:0003429, GO:0005615, GO:0005509, GO:0005515, GO:0006979, GO:0009650, GO:0001867, GO:0005581, GO:0000139, GO:0005578, GO:0005537, GO:0005783"
224,Q56NI9,Q9UKL0,ESCO2,RCOR1,affinity chromatography technology,"18501190, 20331966",2,"biogrid, iid-pred","exp, pred","GO:0071168, GO:0000785, GO:0031618, GO:0007049, GO:0001741, GO:0006302, GO:0008080, GO:0004468, GO:0005634, GO:0005654, GO:0002244, GO:0030054, GO:0046872, GO:0005694, GO:0005794, GO:0006281, GO:0006974, GO:0007059, GO:0007062, GO:0035861, GO:0006275, GO:0010369, GO:0016407, GO:0034421","GO:0044212, GO:0005667, GO:0017053, GO:0000122, GO:1990391, GO:0004407, GO:0005634, GO:0007596, GO:0005515, GO:0005654, GO:0003700, GO:0006357, GO:0045892, GO:0006351, GO:0016032, GO:0001078, GO:0008134, GO:0070933, GO:0000981"
225,O75170,Q96SD1,PPP6R2,DCLRE1C,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0005829, GO:0043231, GO:0005515","GO:0000014, GO:0031848, GO:0008409, GO:0006303, GO:0005794, GO:0004519, GO:0030183, GO:0036297, GO:0006974, GO:0090305, GO:0033151, GO:0000784, GO:0005515, GO:0035312, GO:0010212, GO:0006281, GO:0070419, GO:0005654, GO:0003684, GO:0002250"
226,Q5T124,Q9NZ71,UBXN11,RTEL1,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0005737, GO:0005856, GO:0043130, GO:0005515, GO:0043161","GO:1902990, GO:1904506, GO:0000781, GO:0003677, GO:0043247, GO:0000723, GO:0010569, GO:0070182, GO:0005634, GO:0005654, GO:0004003, GO:1904535, GO:0045910, GO:0031297, GO:0005524, GO:1904358, GO:0006281, GO:1904355, GO:0032508, GO:0006974, GO:0090657, GO:0046872, GO:0051539, GO:0032206, GO:0000732, GO:0005515, GO:1904430"
227,P10275,P38398,AR,BRCA1,"affinity chromatography technology, pull down, two hybrid","11016951, 11085509",2,"biogrid, dip, hprd, iid-pred","exp, pred","GO:0048638, GO:0008270, GO:2001237, GO:0060571, GO:0033327, GO:0008285, GO:0035264, GO:0050680, GO:0019899, GO:0060736, GO:0005496, GO:0001077, GO:0007165, GO:0003382, GO:0003677, GO:0072520, GO:0000978, GO:0007283, GO:0004879, GO:0060599, GO:0016607, GO:0003073, GO:0001701, GO:0030522, GO:0070974, GO:0000122, GO:0005634, GO:0043568, GO:0005654, GO:0030850, GO:0006367, GO:0060520, GO:0048808, GO:0016579, GO:0071383, GO:0000981, GO:0006351, GO:0008284, GO:0005737, GO:0019102, GO:0007548, GO:0008283, GO:0051117, GO:1903076, GO:0050790, GO:0008134, GO:0033148, GO:0071394, GO:0060769, GO:0060742, GO:0000790, GO:0060740, GO:0045893, GO:0005886, GO:0007267, GO:0005497, GO:0060749, GO:0060748, GO:0045726, GO:0044212, GO:0051092, GO:0051259, GO:0043410, GO:0042327, GO:0032991, GO:0001085, GO:0008013, GO:0045720, GO:0005829, GO:0030521, GO:0045597, GO:0005102, GO:0048645, GO:0003700, GO:0010628, GO:0045944, GO:0045945, GO:0005515, GO:0004882, GO:0046983, GO:0003682, GO:0007338","GO:0006633, GO:1902042, GO:0035066, GO:0035067, GO:1990904, GO:0044030, GO:0050681, GO:0033147, GO:0019899, GO:0008274, GO:0010628, GO:0008270, GO:0045766, GO:0003677, GO:0005634, GO:0042981, GO:0044818, GO:0005737, GO:0005654, GO:0006349, GO:0070063, GO:0006302, GO:0006301, GO:0000724, GO:0071356, GO:0006978, GO:0000729, GO:0003713, GO:0000800, GO:0071158, GO:0070512, GO:0085020, GO:0006260, GO:0031398, GO:0070531, GO:0007098, GO:0043009, GO:0005694, GO:0006303, GO:0042127, GO:0072425, GO:2000378, GO:2000620, GO:0005515, GO:0006281, GO:0006357, GO:0006915, GO:0006974, GO:0045892, GO:0070317, GO:0046600, GO:0005886, GO:0043627, GO:0051571, GO:0051572, GO:0051573, GO:0051574, GO:2000617, GO:0071681, GO:0010212, GO:0044212, GO:0031625, GO:0032991, GO:0008630, GO:0009048, GO:0004842, GO:0016579, GO:0010575, GO:0030521, GO:0015631, GO:0000151, GO:0003684, GO:0016567, GO:0051865, GO:0045944, GO:0006351, GO:0007059, GO:0003723, GO:0031436, GO:0045739, GO:0006359, GO:0045717, GO:0045893"
